Name,Beg,End,Location,Score
AT4G24050.1,353,432,proximal,9.084022679436119
AT4G10490.1,252,399,proximal,-1.9585576469315478
AT2G24210.1,207,306,proximal,-5.808941748560219
AT3G07780.1,74,624,proximal,40.01191295386658
AT1G55050.1,115,882,proximal,34.99937487491875
AT1G55050.2,115,886,proximal,34.83099245680623
AT4G34960.1,359,832,proximal,4.230284077396372
AT4G16060.1,277,360,proximal,10.077853725853268
AT5G02710.1,325,416,proximal,-1.5581645002143305
AT5G65070.3,252,654,proximal,6.3609554839348625
AT5G65070.1,252,2189,proximal,-73.58312473670857
AT5G65070.2,252,2189,proximal,-73.58312473670857
AT5G45560.1,344,546,proximal,-3.1998186659299694
AT5G43050.1,74,377,proximal,-3.9045330139063537
AT1G73603.1,133,411,proximal,-18.800703538637716
AT1G54580.1,282,635,proximal,51.11512623644894
AT5G53486.1,158,497,proximal,-27.02328616061018
AT5G53486.3,158,503,proximal,-26.19451914740901
AT5G53486.4,158,225,proximal,-3.900375266444448
AT5G53486.4,283,497,proximal,-18.13067670428076
AT5G38820.1,400,487,proximal,10.193358712135662
AT3G20120.2,81,936,proximal,-0.7478952341925483
AT3G20120.1,146,936,proximal,-13.756905186766078
AT1G20140.1,390,547,proximal,35.780388075918765
AT1G04080.3,180,456,proximal,18.864368261471235
AT1G04080.1,180,456,proximal,18.864368261471235
AT5G63990.2,195,614,proximal,47.838398935532695
AT5G63990.1,195,614,proximal,47.838398935532695
AT4G10500.1,297,422,proximal,3.1456710957609055
AT3G02720.1,169,277,proximal,-3.736470574944262
AT3G02720.1,395,578,proximal,6.163508534682845
AT1G05085.1,138,226,proximal,-12.134205653976572
AT1G05085.1,277,406,proximal,-9.11143339336609
AT5G65158.1,114,208,proximal,-13.0629337835868
AT4G27550.1,158,257,proximal,-3.0347573479619947
AT4G27550.1,356,662,proximal,-8.354771007884269
AT1G24570.1,20,95,proximal,7.003532954871016
AT1G24570.1,214,293,proximal,2.7296073797757376
AT1G24570.1,391,491,proximal,-9.198353252162693
AT3G44790.1,98,202,proximal,3.6457465949573042
AT3G44790.1,352,464,proximal,0.7773198455599223
AT2G39470.1,179,260,proximal,-2.2529651653082876
AT2G39470.1,343,427,proximal,-3.0317849460879827
AT2G39470.2,179,260,proximal,-2.2529651653082876
AT2G39470.2,319,427,proximal,-1.3206276439585358
